"track_name","artist(s)_name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","major_key","danceability","valence","energy","acousticness","instrumentalness","liveness","speechiness","streams","streams_per_month"
"Night Changes","One Direction",1,2014,11,17,7124,18,60,20,2,0,0,120,1,67,40,52,86,0,12,4,1131090940,94257578.3333333
"Fin de Semana","Oscar Maydon, Junior H",2,2023,1,13,592,14,11,84,6,1,30,98,1,70,37,54,6,0,9,8,307370144,26573787.6657061
"Creep","Radiohead",1,1992,9,21,36724,7,146,72,6807,5,80,92,1,53,12,34,1,0,12,4,1271293243,105941103.583333
"Car's Outside","James Arthur",1,2019,10,18,794,10,38,25,61,0,263,150,1,34,24,56,4,0,11,3,265882712,22156892.6666667
"Apocalypse","Cigarettes After Sex",1,2017,3,21,13091,17,61,96,790,2,116,94,1,37,17,47,2,46,11,3,841749534,70145794.5
"Cheques","Shubh",1,2023,5,19,67,8,7,10,0,0,57,90,0,74,36,63,26,0,27,5,47956378,6509915.56561086
"Pink + White","Frank Ocean",1,2016,8,20,21574,30,112,68,266,1,39,160,1,54,54,55,67,0,42,11,806397070,67199755.8333333
"Circles","Post Malone",1,2019,8,30,19664,16,391,73,633,3,37,120,1,70,59,75,24,0,9,4,2132335812,177694651
"Just The Way You Are","Bruno Mars",1,2010,1,1,21106,13,82,0,2946,0,0,109,1,63,46,85,1,0,9,5,1641426668,136785555.666667
"Take Me To Church","Hozier",1,2013,9,13,23804,31,187,99,4623,1,0,129,0,57,41,66,63,0,12,5,2135158446,177929870.5
"Bebe Dame","Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,27,129,21,7,111,157,1,54,75,60,30,0,7,5,367316268,30609689
"You Belong With Me (Taylors Ve","Taylor Swift",1,2021,4,9,2619,12,47,90,1,0,7,130,1,63,49,73,5,0,9,3,350381515,29198459.5833333
"Titi Me Preguntï¿","Bad Bunny",1,2022,5,6,9037,42,124,133,139,14,166,107,0,65,19,72,10,0,13,25,1264310836,105359236.333333
"Better Than Revenge (Taylor's Version)","Taylor Swift",1,2023,7,7,86,11,3,33,3,0,1,146,0,50,67,89,0,0,19,8,30343206,5261827.6300578
"Shut up My Moms Calling","Hotel Ugly",1,2020,2,10,1788,14,1,50,19,0,19,139,0,48,37,41,32,0,10,10,405136812,33761401
"Have You Ever Seen The Rain?","Creedence Clearwater Revival",1,1968,7,1,15890,14,71,37,653,0,167,116,1,74,76,70,7,0,13,3,1145727611,95477300.9166667
"Es un Secreto","Plan B",1,2010,7,20,492,36,4,3,19,0,0,95,0,84,52,77,12,0,7,4,540654286,45054523.8333333
"POLARIS - Remix","Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,20,46,21,8,99,170,0,62,55,80,15,0,37,7,57312735,8511792.32673267
"Ditto","NewJeans",1,2022,12,19,1154,22,28,125,11,1,51,134,0,81,18,64,3,0,10,11,397582059,33131838.25
"Take On Me","a-ha",1,1984,10,19,44927,17,34,0,5108,6,0,84,0,57,86,90,2,0,9,5,1479115056,123259588
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,13,46,20,1,10,146,0,61,20,48,21,0,12,6,86773632,12515427.6923077
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,22,18,15,1,0,74,0,53,24,67,11,0,10,28,133753727,16789170.7531381
"Acrï¿½ï¿½s","Shakira",1,2023,5,11,955,29,37,50,79,11,31,144,1,75,35,48,84,0,10,12,123124076,16129791.6157205
"AMG","Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,12,117,9,5,3,136,0,77,79,73,15,0,27,10,463564958,38630413.1666667
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,6,71,1,0,31,100,1,56,53,55,53,0,12,4,64533040,8604405.33333333
"S-Class","Stray Kids",1,2023,6,2,290,19,9,101,5,0,73,105,0,89,67,78,9,0,7,33,65496046,9446545.09615385
"Hits Different","Taylor Swift",1,2023,5,26,547,0,15,15,6,0,0,106,1,67,24,78,15,0,30,4,68616963,9619200.42056075
"Chanel","Becky G, Peso Pluma",2,2023,3,30,681,10,15,92,21,2,26,132,1,85,53,68,40,0,9,4,161460990,17940110
"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","Metro Boomin, Coi Leray",2,2023,6,2,332,5,18,41,5,0,19,120,1,78,5,30,21,0,13,5,70106975,10111582.9326923
"Area Codes","Kaliii, Kaliii",2,2023,3,17,1197,13,44,34,25,1,171,155,1,82,51,39,2,0,9,49,113509496,12032808.7632509
"Abcdario","Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,8,60,4,1,109,129,1,70,42,43,78,0,11,3,89933133,11885436.0792952
"Obsessed","Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,10,79,2,0,42,135,0,80,85,74,62,0,8,9,71007139,5917261.58333333
"Piï¿½ï¿½man Deï¿","Semicenk, Doï¿½ï¿½u",2,2023,6,2,185,3,5,6,4,1,33,98,0,73,45,62,28,0,13,13,43522589,6277296.49038462
"FLOWER","JISOO",1,2023,3,31,839,18,20,110,20,0,69,124,0,84,64,39,3,0,11,4,232896922,25973634.4237918
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,5,17,5,0,0,135,0,77,28,55,18,0,22,15,37126685,5354810.33653846
"Eyes Closed","Ed Sheeran",1,2023,3,23,2915,30,116,69,107,3,675,107,1,78,39,53,30,0,11,6,195576623,21181583.7184115
"Escapism.","RAYE, 070 Shake",2,2022,10,12,5129,25,116,84,114,18,348,96,1,54,25,74,14,0,9,11,532336353,44361362.75
"La Jumpa","Arcangel, Bad Bunny",2,2022,11,30,3794,34,47,77,53,10,8,123,1,71,58,70,30,0,32,19,538115192,44842932.6666667
"Karma (feat. Ice Spice)","Taylor Swift, Ice Spice",2,2023,5,26,588,0,23,21,31,0,0,90,1,62,7,62,6,0,58,6,46142772,6468612.89719626
"Superhero (Heroes & Villains) [with Future & Chris Brown]","Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,41,69,38,0,36,117,0,72,45,59,14,0,20,21,401036314,33419692.8333333
"Las Morras","BLESSD, Peso Pluma",2,2023,4,4,291,8,8,78,4,1,1,133,0,78,90,84,31,0,7,4,127026613,14326309.7368421
"CHORRITO PA LAS ANIMAS","Feid",1,2022,12,2,2321,36,29,65,34,5,3,96,0,74,61,83,11,0,35,6,345031710,28752642.5
"Ch y la Pizza","Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,10,72,8,3,14,149,1,66,85,60,40,0,14,13,288101651,24008470.9166667
"Snow On The Beach (feat. More Lana Del Rey)","Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,1,0,9,0,0,110,0,66,32,40,81,0,11,3,60350538,8460355.79439252
"Players","Coi Leray",1,2022,11,30,4096,6,118,48,143,0,240,105,1,95,62,52,3,0,5,16,335074782,27922898.5
"Bite Me","ENHYPEN",1,2023,5,22,349,69,8,96,5,0,56,105,1,80,69,78,28,0,11,14,76767396,10564320.5504587
"Stand By Me (feat. Morgan Wallen)","Lil Durk, Morgan Wallen",2,2023,5,26,381,5,23,82,6,0,113,134,1,76,61,58,6,0,16,3,46065667,6457803.78504673
"Normal","Feid",1,2022,7,8,2461,36,47,66,45,5,6,170,0,71,59,56,4,0,27,12,459276435,38273036.25
"Hummingbird (Metro Boomin & James Blake)","James Blake, Metro Boomin",2,2023,6,2,277,1,1,20,5,0,1,81,1,59,26,60,46,1,25,13,39666245,5721093.02884615
"Seu Brilho Sumiu - Ao Vivo","Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,7,29,51,1,29,154,1,63,75,92,31,0,91,5,138517666,13898093.5785953
"Bad Habit","Steve Lacy",1,2022,6,29,8186,12,155,72,131,16,29,169,1,69,69,51,63,0,38,4,822633917,68552826.4166667
"CUFF IT","Beyoncï¿",1,2022,7,29,7842,10,215,88,330,26,23,115,1,78,64,69,4,0,7,14,595900742,49658395.1666667
"Lilith (feat. SUGA of BTS) (Diablo IV Anthem)","Halsey, Suga",2,2023,6,5,215,6,6,14,8,2,4,84,0,43,14,74,1,0,19,8,51985779,7607674.97560976
"69","Nicky Jam, Feid",2,2023,5,18,1134,22,39,14,48,2,3,93,1,79,58,62,11,0,11,23,57945987,7830538.78378378
"Niï¿½ï¿½a Bo","Sean Paul, Feid",2,2023,4,21,1305,34,29,26,43,5,44,91,1,82,47,62,10,0,10,15,115010040,13856631.3253012
"Search & Rescue","Drake",1,2023,4,7,2066,6,58,70,43,0,182,142,0,82,54,44,6,0,33,7,175097833,19973136.8441065
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)","Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,34,2,33,0,1,126,1,78,20,70,1,0,16,4,57089066,7749646.96832579
"Lavender Haze","Taylor Swift",1,2022,10,21,3763,8,51,43,38,10,1,97,1,73,10,44,26,0,16,8,488386797,40698899.75
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,3,10,3,0,0,101,1,92,59,51,41,51,26,8,32761689,4725243.60576923
"Efecto","Bad Bunny",1,2022,5,6,4004,33,34,65,43,6,2,98,0,80,23,48,14,0,6,5,1047480053,87290004.4166667
"Erro Gostoso - Ao Vivo","Simone Mendes",1,2023,1,27,984,5,8,57,76,2,49,154,1,59,63,89,18,0,80,9,153454328,13824714.2342342
"Cupido","Tini",1,2023,2,14,1240,24,51,29,63,4,54,120,1,91,63,58,52,0,31,22,217672943,20665152.8164557
"Just Wanna Rock","Lil Uzi Vert",1,2022,10,17,3995,13,72,27,47,0,0,150,1,49,4,55,7,0,6,3,457184829,38098735.75
"Unstoppable","Sia",1,2016,1,21,7681,13,119,66,1145,2,0,174,1,47,27,78,11,0,10,8,939844851,78320404.25
"Until I Found You","Stephen Sanchez",1,2021,9,1,4427,4,69,100,154,20,438,202,1,34,25,51,69,0,18,4,726434358,60536196.5
"Rich Flex","Drake, 21 Savage",2,2022,11,4,4657,18,84,84,42,0,23,153,0,56,42,52,5,0,36,24,573633020,47802751.6666667
"Easy On Me","Adele",1,2021,10,14,10195,20,258,87,657,22,9,142,1,60,13,37,58,0,13,3,1406111294,117175941.166667
"Cartï¿½ï¿½o B","MC Caverinha, KayBlack",2,2023,5,11,269,4,7,2,30,1,11,108,0,84,55,47,26,0,20,64,71573339,9376419.95633188
"Danger (Spider) (Offset & JID)","Offset, JID",2,2023,6,2,214,0,3,3,6,0,0,143,1,83,25,69,4,0,23,12,24975653,3602257.64423077
"Oi Balde - Ao Vivo","Zï¿½ï¿½ Neto & Crist",1,2023,2,14,845,2,12,57,47,1,33,108,1,67,55,67,60,0,80,5,145458418,13809343.4810127
"The Real Slim Shady","Eminem",1,2000,1,1,20763,27,81,53,3271,1,17,104,0,95,78,66,3,0,4,6,1424589568,118715797.333333
"MERCHO","Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,41,22,56,4,84,93,0,84,96,79,43,0,18,11,231332117,19277676.4166667
"The Color Violet","Tory Lanez",1,2021,12,10,2585,32,3,79,21,1,54,105,0,65,46,53,16,0,9,5,415932686,34661057.1666667
"Glimpse of Us","Joji",1,2022,6,10,6330,6,109,42,158,3,31,170,1,44,27,32,89,0,14,5,988515741,82376311.75
"Mejor Que Yo","Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,9,13,11,0,1,178,0,62,56,66,18,0,12,5,50847624,6463681.01694915
"Curtains","Ed Sheeran",1,2023,5,5,715,0,37,3,27,0,50,176,0,50,44,76,10,0,32,5,39893489,5092785.82978723
"UNFORGIVEN (feat. Nile Rodgers)","Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,14,110,9,0,49,104,0,80,38,88,11,0,11,5,92035115,11552524.8953975
"Haegeum","Agust D",1,2023,4,21,244,12,6,84,10,2,9,85,1,70,83,84,31,0,47,30,118810253,14314488.313253
"Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich","Rich The Kid, Matuï¿",2,2023,4,30,385,4,17,7,41,1,29,117,0,77,69,58,39,0,26,5,77233241,9654155.125
"MIENTRAS ME CURO DEL CORA","Karol G",1,2023,2,24,1020,35,15,26,30,6,0,80,1,52,57,48,86,0,15,39,206399629,20235257.745098
"Never Felt So Alone","Labrinth",1,2023,4,7,1730,3,46,5,51,0,20,98,1,44,36,41,50,0,38,5,117747907,13431320.1901141
"X SI VOLVEMOS","Karol G, Romeo Santos",2,2023,2,2,2127,33,45,80,53,8,4,178,0,79,58,78,34,0,11,25,266624541,24386390.945122
"ceilings","Lizzy McAlpine",1,2022,4,8,3242,9,67,55,48,0,6,148,1,51,27,33,48,0,22,3,293186992,24432249.3333333
"Cupid","Fifty Fifty",1,2023,2,24,526,10,15,93,30,0,320,120,1,77,94,66,65,0,38,3,139681964,13694310.1960784
"I AM","IVE",1,2023,4,10,366,15,16,102,7,0,55,122,0,68,38,88,1,0,8,5,123132751,14207625.1153846
"Cupid  Twin Ver. (FIFTY FIFTY)  Spe","sped up 8282",1,1997,1,1,472,2,0,0,6,0,0,144,1,74,75,73,42,0,9,4,103762518,8646876.5
"Shorty Party","Cartel De Santa, La Kelly",2,2023,3,4,432,12,8,14,12,2,33,96,1,93,47,47,33,0,10,36,162887075,16508825.1689189
"Super","SEVENTEEN",1,2023,4,24,271,12,16,103,9,0,55,137,1,77,35,88,16,0,17,9,91221625,11124588.4146341
"Slut Me Out","NLE Choppa",1,2022,4,22,816,4,21,4,13,0,4,121,0,94,71,61,12,0,53,42,190490915,15874242.9166667
"Double Fantasy (with Future)","The Weeknd, Future",2,2023,4,21,1169,0,36,65,28,0,0,119,0,60,10,57,1,0,50,3,96180277,11587985.1807229
"All Of The Girls You Loved Before","Taylor Swift",1,2019,8,23,1282,6,26,6,19,0,5,96,1,72,40,47,71,0,13,4,185240616,15436718
"PROVENZA","Karol G",1,2022,4,21,6587,34,114,104,147,11,20,111,1,87,53,52,66,1,11,5,885093467,73757788.9166667
"Princess Diana (with Nicki Minaj)","Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,0,0,0,0,0,148,1,90,74,68,14,0,10,19,104992946,12303860.859375
"Di Que Si","Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,4,64,4,2,37,182,1,57,80,59,8,0,6,5,147290338,13512875.0458716
"Shivers","Ed Sheeran",1,2021,9,9,10147,30,234,71,543,18,0,141,1,79,82,86,28,0,4,9,1302184087,108515340.583333
"Igualito a Mi Apï¿","Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,8,84,5,1,4,145,0,76,80,81,19,0,6,9,158950978,13245914.8333333
"Shoong! (feat. LISA of BLACKPINK)","TAEYANG, Lisa",2,2023,4,25,351,9,16,90,10,0,64,110,0,76,26,70,1,0,41,6,76910644,9417629.87755102
"Komang","Raim Laode",1,2022,8,16,158,4,5,6,1,1,18,134,1,70,35,41,41,0,10,3,137123880,11426990
"DESPECHï¿","ROSALï¿½",1,2022,7,28,7613,33,180,90,422,15,55,130,1,92,78,62,18,0,6,10,782369383,65197448.5833333
"Made You Look","Meghan Trainor",1,2022,10,21,3956,6,142,23,127,3,16,145,1,84,88,53,35,0,8,7,502574952,41881246
"Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,0,0,21,0,0,130,0,69,36,90,1,10,15,4,207033255,19110762
"No Se Va","Grupo Frontera",1,2022,4,28,924,18,17,80,22,9,38,173,1,59,69,53,12,0,23,3,404887295,33740607.9166667
"Punto G","Quevedo",1,2022,11,4,1985,35,34,26,37,5,1,92,0,75,55,76,25,0,10,15,381161027,31763418.9166667
"Lovers Rock","TV Girl",1,2014,6,5,6339,13,3,1,36,1,37,105,0,56,57,87,0,1,10,4,466231982,38852665.1666667
"METAMORPHOSIS","INTERWORLD",1,2021,11,25,1561,24,18,78,24,0,30,175,0,59,15,64,43,90,12,10,357580552,29798379.3333333
"Mami Chula","Quevedo, Jhayco",2,2023,4,27,875,4,17,13,27,0,43,120,0,80,33,70,22,0,9,4,61105704,7543914.07407407
"En Paris","El Chachito, Junior H",2,2022,12,24,406,5,3,31,2,1,0,139,0,70,77,48,37,0,12,5,198275403,16522950.25
"Set Me Free Pt.2","Jimin",1,2023,3,17,340,13,4,71,16,1,9,132,0,59,56,82,12,0,12,6,168448603,17856742.3674912
"I Was Never There","The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,30,70,142,0,27,114,1,32,17,74,14,0,17,3,705469769,58789147.4166667
"Don't ever say love me (feat. RM of BTS)","RM, Colde",2,2023,5,4,105,0,5,9,5,0,0,145,0,54,19,48,36,0,37,5,34502215,4385874.78813559
"Shut Down","BLACKPINK",1,2022,9,16,1524,17,53,120,62,0,2,110,1,82,67,69,0,0,18,4,482175240,40181270
"Gato de Noche","Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,21,55,32,3,0,94,1,89,61,66,17,0,36,16,304118600,25343216.6666667
"Call Out My Name","The Weeknd",1,2018,3,29,11087,6,151,107,801,1,105,134,1,45,17,60,21,0,33,4,1449799467,120816622.25
"Like Crazy (English Version)","Jimin",1,2023,3,24,373,19,4,72,5,0,5,120,1,62,32,76,0,0,39,4,173627354,18872538.4782609
"Rosa Pastel","Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,8,77,2,1,1,123,0,70,86,68,24,0,11,4,90025258,8234017.5
"Sunroof","Nicky Youre, Dazy",2,2021,12,3,3741,17,156,35,110,19,0,131,1,77,84,71,35,0,15,4,652704649,54392054.0833333
"Lose Yourself - Soundtrack Version","Eminem",1,2002,1,1,32502,21,247,54,5567,1,51,171,1,70,6,73,1,0,36,26,1829992958,152499413.166667
"Superman","Eminem, Dina Rae",2,2002,5,26,7615,14,18,51,1005,0,0,130,0,80,64,76,2,0,20,6,655466831,54622235.9166667
"Mas Rica Que Ayer","Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,10,41,20,0,1,94,1,82,53,67,34,0,9,8,146409671,14739228.6241611
"People Pt.2 (feat. IU)","IU, Agust D",2,2023,4,7,209,4,4,45,11,2,24,89,0,73,44,57,39,0,32,6,95816024,10929584.486692
"REMIX EXCLUSIVO","Feid",1,2023,3,17,1235,9,20,8,15,0,6,87,0,65,71,56,4,0,15,20,117206995,12424769.7879859
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,11,3,18,1,1,124,0,72,79,78,55,0,15,30,100409613,10835569.7482014
"DOGTOOTH","Tyler, The Creator",2,2023,3,27,1479,0,23,0,18,0,33,78,1,71,80,65,51,0,22,32,80758350,8874543.95604396
"10:35","Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,190,104,147,18,63,120,1,70,70,79,7,0,18,10,325592432,27132702.6666667
"SORRY NOT SORRY","Tyler, The Creator",2,2023,3,31,709,0,8,1,13,0,0,96,0,48,50,80,40,0,37,20,58473276,6521183.19702602
"HAPPY","NF",1,2023,3,25,660,0,22,7,11,0,78,106,1,73,22,86,31,0,12,4,52722996,5751599.56363636
"La Bebe","Yng Lvcas",1,2021,12,24,489,17,4,11,5,1,2,170,0,78,75,46,62,0,12,35,191945597,15995466.4166667
"I Know - PR1SVX Edit","Kanii, PR1ISVX",2,2023,3,24,407,0,16,15,5,0,1,134,0,67,11,76,8,47,30,7,77377503,8410598.15217391
"Late Night Talking","Harry Styles",1,2022,5,20,7461,8,166,42,199,16,58,115,1,71,90,73,30,0,11,5,743693613,61974467.75
"Leï¿½","Marï¿½ï¿½lia Mendo",1,2022,12,9,993,4,30,84,88,1,28,130,1,74,79,87,45,0,30,3,267789608,22315800.6666667
"Save Your Tears (with Ariana Grande) (Remix)","Ariana Grande, The Weeknd",2,2020,3,20,9161,5,240,98,468,3,10,118,1,65,63,79,3,0,10,3,1221813483,101817790.25
"Something in the Orange","Zach Bryan",1,2022,4,22,3282,12,67,84,46,16,117,110,1,59,22,38,42,0,12,3,449701773,37475147.75
"VOID","Melanie Martinez",1,2023,3,29,596,0,29,9,12,0,52,100,1,72,42,66,18,4,19,4,67070410,7424768.63468635
"Dijeron Que No La Iba Lograr","Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,5,48,2,1,9,142,0,70,76,79,26,0,11,7,116334601,12202930.1748252
"Midnight Rain","Taylor Swift",1,2022,10,21,2612,4,19,29,21,0,0,140,1,64,18,37,72,0,12,7,433356509,36113042.4166667
"If We Ever Broke Up","Mae Stephens",1,2023,2,10,2040,4,81,27,66,9,444,116,1,90,96,73,62,0,9,4,165584767,15523571.90625
"You Proof","Morgan Wallen",1,2022,5,13,2128,9,37,88,9,0,14,120,1,73,64,85,25,0,61,3,367814306,30651192.1666667
"LA INOCENTE","Feid, Mora",2,2022,4,1,2598,37,28,57,43,8,85,92,0,76,46,79,31,0,7,6,477033549,39752795.75
"Malas Decisiones","Kenia OS",1,2022,10,26,542,2,23,2,21,0,0,110,0,81,64,79,5,0,31,3,156214700,13017891.6666667
"Murder In My Mind","Kordhell",1,2022,1,21,2459,20,20,68,50,0,22,120,1,71,57,97,1,0,13,11,448843705,37403642.0833333
"Gangsta's Paradise","Coolio, L.V.",2,1995,7,11,10624,17,21,0,386,0,0,80,1,63,40,61,9,0,56,6,1357608774,113134064.5
"CAIRO","Karol G, Ovy On The Drums",2,2022,11,13,2418,26,52,66,55,1,16,115,0,95,43,69,47,0,9,31,294352144,24529345.3333333
"I Love You So","The Walters",1,2014,11,28,7536,7,44,19,135,0,6,76,1,58,46,67,65,0,13,4,972164968,81013747.3333333
"Dark Red","Steve Lacy",1,2017,2,20,10431,7,71,53,181,0,10,172,1,60,77,78,45,0,12,6,920045682,76670473.5
"Say You Won't Let Go","James Arthur",1,2016,9,9,15722,16,231,37,1509,0,13,99,1,40,45,56,69,0,9,5,2420461338,201705111.5
"The Hills","The Weeknd",1,2015,5,27,25744,4,122,94,1992,0,18,136,0,36,12,57,9,0,14,8,1947371785,162280982.083333
"Heart To Heart","Mac DeMarco",1,2019,5,10,1640,0,27,27,29,1,1,150,0,90,64,14,67,35,11,10,244658767,20388230.5833333
"Peaches (from The Super Mario Bros. Movie)","Jack Black",1,2023,4,7,34,0,0,0,0,0,0,92,0,71,41,31,79,0,10,5,68216992,7781405.93155894
"Marisola - Remix","Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,20,8,30,2,0,95,1,77,72,87,17,0,7,5,223582566,18631880.5
"LOKERA","Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,72,64,64,6,3,102,0,83,58,83,21,0,10,5,471819764,39318313.6666667
"Low","SZA",1,2022,12,9,1911,0,23,71,14,0,9,145,0,70,34,55,43,0,16,6,272377463,22698121.9166667
"Numb","Linkin Park",1,2003,3,24,20111,5,39,0,7341,0,0,110,1,50,24,86,0,0,64,4,1361425037,113452086.416667
"Tormenta (feat. Bad Bunny)","Gorillaz, Bad Bunny",2,2023,2,24,1529,0,32,18,39,2,0,95,1,64,30,77,46,0,38,6,149778242,14684141.372549
"on the street (with J. Cole)","j-hope, J. Cole",2,2023,3,3,615,2,22,82,8,0,9,94,0,68,81,82,53,0,9,13,116599790,11777756.5656566
"One Thing At A Time","Morgan Wallen",1,2022,12,2,811,4,11,58,5,0,21,142,1,61,92,91,0,0,26,3,148469433,12372452.75
"Miss You","Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,108,16,197,3,165,145,0,59,20,74,1,0,15,5,497225336,41435444.6666667
"Aint Tha","Morgan Wallen",1,2023,3,3,356,4,4,20,0,0,0,121,0,64,67,80,0,0,36,3,88791109,8968798.88888889
"Thinkin B","Morgan Wallen",1,2023,3,3,604,6,22,101,0,0,66,140,0,66,43,76,49,0,12,3,125917280,12718917.1717172
"Private Landing (feat. Justin Bieber & Future)","Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,29,3,18,0,19,137,0,84,44,67,8,0,11,6,105062254,10266669.771987
"Everything I Love","Morgan Wallen",1,2023,1,31,579,0,11,54,0,0,103,104,1,56,72,85,0,0,15,3,95623148,8719435.98784195
"Heaven","Niall Horan",1,2023,2,17,1553,2,61,6,48,0,150,92,1,57,68,76,7,0,33,3,144584800,13857968.0511182
"LET GO","Central Cee",1,2022,12,15,2301,20,49,23,110,0,8,146,0,74,51,45,86,0,21,38,298063749,24838645.75
"Sial","Mahalini",1,2023,1,23,134,4,4,6,0,0,23,120,1,56,20,43,89,0,12,4,166570053,14828194.6290801
"I Wrote The Book","Morgan Wallen",1,2023,1,31,430,0,15,17,0,0,0,144,1,68,83,81,9,0,8,4,83021468,7570346.62613982
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,11,101,0,0,48,94,1,59,44,56,80,0,6,3,139836056,11653004.6666667
"SPIT IN MY FACE!","ThxSoMch",1,2022,10,31,629,14,32,3,9,0,0,94,1,73,65,79,5,2,11,6,303216294,25268024.5
"PLAYA DEL INGLï¿½","Myke Towers, Quevedo",2,2022,12,15,1701,15,30,15,34,2,47,113,0,79,66,74,8,0,11,5,221409663,18450805.25
"Man Made A Bar (feat. Eric Church)","Morgan Wallen, Eric Church",2,2023,3,3,329,0,14,35,1,0,0,148,1,50,49,76,12,0,12,3,58890931,5948578.88888889
"Red Ruby Da Sleeze","Nicki Minaj",1,2023,3,3,1168,0,45,11,20,0,21,98,1,70,29,73,12,0,11,26,81419389,8224180.70707071
"Kahani Suno 2.0","Kaifi Khalil",1,2022,5,31,162,6,1,10,1,0,1,140,1,58,26,38,91,0,10,4,156777415,13064784.5833333
"Nobody Gets Me","SZA",1,2022,12,9,2536,6,59,100,58,13,2,100,1,36,28,28,81,0,18,3,284908316,23742359.6666667
"PERO Tï¿","Karol G, Quevedo",2,2023,2,23,387,11,11,15,14,3,1,140,1,86,68,79,39,0,11,29,93438910,9130838.11074919
"Hype Boy","NewJeans",1,2022,8,1,892,17,20,119,12,2,7,100,0,59,78,94,27,0,29,23,363472647,30289387.25
"Bloody Mary","Lady Gaga",1,2011,1,1,3909,0,66,26,277,3,734,100,0,59,49,65,2,0,13,3,372476382,31039698.5
"Monotonï¿½","Ozuna, Shakira",2,2022,10,19,3645,15,118,34,150,4,19,132,0,87,82,70,42,0,21,5,380726517,31727209.75
"ýýý98 Braves","Morgan Wallen",1,2023,3,3,282,0,6,15,0,0,0,142,1,49,48,67,10,0,26,3,56533272,5710431.51515151
"WANDA","Quevedo",1,2023,1,20,888,22,11,24,7,1,7,176,0,72,96,63,25,0,21,7,175399345,15476412.7941176
"Thought You Should Know","Morgan Wallen",1,2022,5,6,968,4,16,53,1,0,61,140,1,53,51,70,49,0,14,3,203221468,16935122.3333333
"In The End","Linkin Park",1,2000,10,24,25065,6,63,0,6808,2,0,105,0,55,40,90,1,0,32,6,1624165576,135347131.333333
"Zona De Perigo","Leo Santana",1,2022,12,8,531,4,20,1,71,2,0,135,1,81,97,77,75,0,35,3,134294498,11191208.1666667
"Lovezinho","Treyce",1,2022,7,28,242,0,12,2,13,0,4,128,0,82,61,59,30,0,12,4,70069745,5839145.41666667
