"TARGET_deathRate","medIncome","popEst2015","povertyPercent","studyPerCap","binnedInc","MedianAge","MedianAgeMale","MedianAgeFemale","Geography","AvgHouseholdSize","PercentMarried","PctNoHS18_24","PctHS18_24","PctSomeCol18_24","PctBachDeg18_24","PctHS25_Over","PctBachDeg25_Over","PctEmployed16_Over","PctUnemployed16_Over","PctPrivateCoverage","PctPrivateCoverageAlone","PctEmpPrivCoverage","PctPublicCoverage","PctPublicCoverageAlone","PctWhite","PctBlack","PctAsian","PctOtherRace","PctMarriedHouseholds","BirthRate"
177.9,50043,36706,12.9,27.24350242,"(48021.6, 51046.4]",39.4,38.3,40.4,"Dodge County, Nebraska",2.37,55.8,16.3,31.9,NA,8.3,36.8,13.4,63.7,5.1,72.7,55.3,48.2,30.8,13.7,95.82573179,0.49012934,0.577263445,0.313138189,52.27663799,7.218949743
179.7,52842,550064,14,818.0866226,"(51046.4, 54545.6]",34,33.2,34.9,"Douglas County, Nebraska",2.52,47.6,12.7,27.5,45.6,14.2,21.9,24.2,67.2,5.7,72,60.8,52.9,26,14.8,78.9999163,11.2767481,3.147929434,3.143651598,44.9580658,5.925782154
151.9,45624,1799,13.8,0,"(45201, 48021.6]",46.2,42.8,48.3,"Dundy County, Nebraska",2.18,62.3,18.4,29.1,35.5,17,32.5,13.6,57.7,4,64.8,49.3,31.6,35.9,17.2,98.51116625,0.099255583,0,0.248138958,55.44444444,5.83090379
150.3,54556,5619,10.1,0,"(54545.6, 61494.5]",47.5,46.2,49.1,"Fillmore County, Nebraska",2.22,57.5,15.8,33.1,NA,5.8,39.1,13.5,63.3,3.4,74.7,55.7,44.2,31.9,12.7,97.1915043,0.912761102,0.017553098,1.000526593,53.40909091,6.001846722
119.2,44794,2985,13.6,0,"(42724.4, 45201]",49.9,49,50.8,"Franklin County, Nebraska",2.15,64,6.9,35.8,NA,3.4,37.1,14.6,60.9,3.5,70.8,47.6,30.9,39.5,17.7,98.13204509,0.128824477,0.193236715,0,58.33924769,8.058608059
127.2,48543,2624,13.7,0,"(48021.6, 51046.4]",44.4,42.7,45.1,"Frontier County, Nebraska",2.25,59.5,8.1,12.1,NA,6.5,34.7,11.8,61.5,2.4,77,NA,40.8,30.4,10.8,98.25106879,0,0,0,58.11808118,3.646833013
145.5,44461,4862,12.7,0,"(42724.4, 45201]",46.8,45.8,47.5,"Furnas County, Nebraska",2.11,60.2,34.3,21.1,NA,9.9,33.7,14,59.4,3.4,70.3,NA,40.4,36.6,16.6,96.95109474,0.122774708,0.184162063,0.73664825,51.09841828,5.315614618
128.2,38645,1918,15.6,0,"(37413.8, 40362.7]",52.3,50.9,52.5,"Garden County, Nebraska",2.1,62.9,42,37.7,14.5,5.8,32.5,16.3,60.7,3.1,68.7,43.1,31.4,38.8,15,97.36697751,0.164563906,1.097092704,0.054854635,58.81656805,4.705882353
141,40436,2028,11.8,0,"(40362.7, 42724.4]",51.4,53.1,50.9,"Garfield County, Nebraska",2.1,57,4.1,21.1,46.3,28.5,39.5,11.8,62.7,3.5,70.2,46.9,26.3,41.8,16.8,97.98241076,0.620796689,0,0.310398345,49.16943522,3.095975232
187.4,55319,1973,9.1,0,"(54545.6, 61494.5]",46.7,45.6,48.8,"Gosper County, Nebraska",2.46,64.9,10.9,55.5,NA,8,34.8,14.5,68.5,5.1,78.6,55.5,44.6,27.9,10.7,97.01417004,0,0,1.062753036,64.63878327,1.38121547
155.8,62191,9190,6.9,0,"(61494.5, 125635]",42.9,40.9,44.3,"Hamilton County, Nebraska",2.45,62.7,25.1,33.2,NA,8.5,31.8,18.3,65.9,2.5,77.3,61.3,47.5,30.9,15,96.62637363,0.538461538,0.21978022,0.868131868,60.81118115,3.387978142
223.9,46744,3452,11.4,0,"(45201, 48021.6]",49.5,46.9,50.6,"Harlan County, Nebraska",2.19,62.4,15.1,27.4,NA,5.7,37.6,12.4,59.7,1.7,74.1,53.3,38.9,33.7,12,97.36842105,0.20242915,0.26026605,0.08675535,55.94855305,5.410122164
183.7,40496,2883,13.8,4856.052723,"(40362.7, 42724.4]",48.2,44.1,49.8,"Hitchcock County, Nebraska",2.12,57.3,15.5,27,NA,1.1,37.4,9.2,58.3,3,65.2,45.6,35.1,37.5,17.6,99.27058006,0.138937131,0.138937131,0,49.55290611,9.807692308
201.3,44947,7263,11.5,0,"(42724.4, 45201]",45.5,45,46.4,"Jefferson County, Nebraska",2.18,58.4,16.2,24.6,NA,7,42.6,10,62,4,73.2,53,40.3,37.8,16.2,97.1747612,0.013453518,0.242163326,0.053814072,51.29502828,5.139186296
185.6,48511,5173,13.9,0,"(48021.6, 51046.4]",42.3,40,47.5,"Johnson County, Nebraska",2.13,48.5,30.4,31.1,NA,2.8,40.7,10.8,47.6,3.6,73.5,56.7,46.1,30.9,14.6,87.38145926,7.122121153,0.832204374,2.690149023,51.00742312,4.337050805
136.4,56791,6585,9.6,0,"(54545.6, 61494.5]",40.8,39.5,43.5,"Kearney County, Nebraska",2.34,61.2,14.4,39.8,32.3,13.5,32.5,16.8,67.7,3.8,78.9,60.1,46.3,27.8,10.6,98.12185066,0.152695068,0.320659643,0.488624217,55.22226238,12.76119403
161.3,45192,8063,12,0,"(42724.4, 45201]",49.1,47.7,49.8,"Keith County, Nebraska",2.06,59.5,12.6,42.2,NA,7.4,34.5,14.2,61.8,2.8,69.6,NA,36.4,36.4,15.1,96.47679843,0.576970292,0.417382765,0.196415419,51.08834827,2.702702703
161.7,42745,8543,14.9,0,"(42724.4, 45201]",47.6,45.9,49,"Knox County, Nebraska",2.24,61.4,14.8,32.1,NA,6.2,37.2,13.3,63.2,3.3,70.1,50,35.9,36.2,15.8,87.52921926,0.070126227,0.502571295,0.607760636,54.79009688,6.866666667
153.5,52011,306468,14,486.1845282,"(51046.4, 54545.6]",32.9,32.1,33.8,"Lancaster County, Nebraska",2.42,47.4,6.3,17.2,NA,13.4,22.6,23.9,68.1,5.1,76.9,62.7,54.3,24.1,11.7,87.33964037,4.000268384,4.01335212,1.225845411,46.00270254,6.17570233
167,49770,35656,14.5,28.0457707,"(48021.6, 51046.4]",40.1,39.2,40.7,"Lincoln County, Nebraska",2.34,55.2,21.3,28.1,NA,3.3,31.4,14.2,61.9,4.2,72,NA,47.5,31.7,13.9,95.6346111,0.835747716,0.509806107,1.016826387,50.01332445,5.843469064
161.2,51836,35039,13.7,485.1736636,"(51046.4, 54545.6]",37.5,35.3,39.3,"Madison County, Nebraska",2.43,53.7,10.3,28.8,52.8,8.1,29.3,13.6,68.4,3.1,72.2,NA,49.9,28.2,14.5,92.15630429,1.181965766,0.689242687,2.389564524,51.68844149,7.123638693
163.6,50893,7787,10.4,0,"(48021.6, 51046.4]",43.8,43.3,45.2,"Merrick County, Nebraska",2.28,60.9,12,43.5,NA,3.8,34.5,12.1,67.1,5.2,75.6,55.3,42,33.7,12.1,96.33487654,0.488683128,0.102880658,0.694444444,55.93984962,4.215304799
131.6,46961,4854,14,0,"(45201, 48021.6]",41.3,41.1,41.7,"Morrill County, Nebraska",2.38,53.6,24.8,27.9,NA,2.5,32.3,13.6,64.7,4,69.2,54.9,40.7,30.9,15.8,96.12228149,0.800164136,0.307755437,1.292572835,49.67188289,5.760869565
141.8,48535,3595,11.7,0,"(48021.6, 51046.4]",45.9,44.2,48.1,"Nance County, Nebraska",2.25,57.5,12.7,35.4,NA,12.2,38.1,10.9,60.9,3.2,74.9,57.9,45.5,29,9.9,99.61527892,0.054960154,0.054960154,0,54.32816537,7.391304348
164.7,49162,7046,13.6,567.6979847,"(48021.6, 51046.4]",39.1,36.8,41.4,"Nemaha County, Nebraska",2.31,52.2,9.9,31.2,NA,3.5,34.9,20.4,59.1,8,76.5,60.5,53.2,29.2,13.6,96.19140625,1.143973214,0.474330357,0.251116071,52.86757039,8.91959799
154.3,43249,4329,13.4,0,"(42724.4, 45201]",49.2,48,50.9,"Nuckolls County, Nebraska",2.08,60.7,16.8,26.6,NA,9,42.1,11.2,61.9,2.9,72.3,NA,35.7,38.5,13.8,97.97312685,0.045547711,0.751537235,0.159416989,53.38491296,7.142857143
171.1,42977,2659,12.2,0,"(42724.4, 45201]",49.1,46.9,50.9,"Pawnee County, Nebraska",2.13,62.2,31.4,15.1,NA,24.4,45.3,10.8,57.2,4.6,70.5,NA,33.6,35.1,10.6,99.08290536,0,0,0,54.32196669,1.111111111
147.5,56080,2944,10.4,0,"(54545.6, 61494.5]",44.1,41.6,45.6,"Perkins County, Nebraska",2.32,65.5,27.4,31.4,NA,4,31.1,13.5,64.6,1.7,78.8,59.5,38.9,29.3,10.3,98.8372093,0.136798906,0,0.239398085,62.42960579,6.593406593
173.5,54137,9296,9.5,0,"(51046.4, 54545.6]",42,40.1,44.6,"Phelps County, Nebraska",2.4,60.3,19.2,28.6,NA,5.1,33,16.9,64.4,1.7,77.2,58.7,47.5,29.5,11.6,97.08116319,0.151909722,0.130208333,0.401475694,57.53755365,2.548476454
159.5,53489,7208,10,0,"(51046.4, 54545.6]",41.3,39.8,42.9,"Pierce County, Nebraska",2.4,64.3,9.6,25.6,NA,9.6,36,15.9,NA,4.7,80.2,64,48.5,26.9,11.3,97.99554566,0.139198218,0.236636971,0.194877506,59.31972789,9.160305344
155.1,61768,32847,8.4,0,"(61494.5, 125635]",38,35.9,39.8,"Platte County, Nebraska",2.53,57.2,19.7,24.3,NA,12.5,31,13.7,NA,4.5,78.2,64.6,56.2,23.5,9.9,95.4904724,0.2757184,0.609644017,1.6788187,55.17431337,5.33869116
187.3,46051,1381,15,0,"(45201, 48021.6]",52,49.8,53.4,"Rock County, Nebraska",1.94,59.4,6,23.3,69.8,0.9,41.7,14.1,64.1,1.7,70.1,50.7,25.6,31.4,11.4,95.64596717,0.713775874,0.214132762,0.713775874,52.60869565,3.361344538
181.9,51805,14282,10.1,0,"(51046.4, 54545.6]",36.6,35.5,37.8,"Saline County, Nebraska",2.61,52,20,18,NA,7.2,34.7,8.1,63.3,3.4,76.3,60.9,54,25.7,11.6,91.62256267,0.793871866,2.681058496,3.189415042,53.87931034,3.0621435
169.9,74008,175692,5.3,108.1437971,"(61494.5, 125635]",33.7,32.7,34.6,"Sarpy County, Nebraska",2.71,59.5,10.5,25,NA,9.4,22.5,24.2,69.5,4.4,84.4,69.4,54.9,19.7,8.3,88.76187999,4.243699466,2.130124356,1.043193532,59.17428972,7.30321114
176.2,61961,21016,8.2,333.0795584,"(61494.5, 125635]",41.4,40.6,42.4,"Saunders County, Nebraska",2.56,60.4,10.8,29,42.2,18,33,16.1,65.4,3.5,80.2,62.5,50.7,28.5,11.5,97.25051403,0.655094917,0.272557739,0.535552049,59.45375543,6.021555764
160.2,47194,36261,15.6,386.0897383,"(45201, 48021.6]",38.8,37.7,39.5,"Scotts Bluff County, Nebraska",2.42,51.8,14.4,30.6,NA,3.8,30,14.5,63.3,5.5,63.3,50,41.5,34.4,19.7,93.29135318,0.866862938,0.665140116,2.44520772,48.13283633,6.311958841
190.8,48195,678889,19.9,849.9180278,"(48021.6, 51046.4]",34.2,33.5,34.9,"Davidson County, Tennessee",2.41,40.5,10.8,27.5,NA,17,24.1,23.6,64.5,7.2,64.3,54.1,46.5,29.1,18.5,62.43709245,27.59109256,3.205589623,3.999507977,37.31146697,5.788303646
212.3,37417,11660,19.9,0,"(37413.8, 40362.7]",45.3,44.2,46.1,"Decatur County, Tennessee",2.3,56.1,15,38.9,NA,4.7,44.6,7.5,48.1,10.1,58.4,42.8,35.7,44.3,23.9,94.10405614,2.781105596,0.265274688,0.795824063,50.74327039,4.422498927
202.8,38595,19182,20.1,0,"(37413.8, 40362.7]",41,39.4,43.4,"DeKalb County, Tennessee",2.7,50.1,9.2,49.6,NA,1.6,43.2,9.3,48.3,7.6,56.9,43,38.7,40.7,23.4,94.78936863,1.449732115,0.619813006,1.654585566,51.71965318,6.303030303
199.1,45914,51487,14.3,58.26713539,"(45201, 48021.6]",39.9,38.5,40.9,"Dickson County, Tennessee",2.69,52.5,14.8,51.3,NA,2.2,43.7,9.3,54.7,7.5,64.4,50.8,44.5,35,20.2,92.29077508,3.930892376,0.491361547,0.739023617,54.88790688,4.968421053
185.6,43425,37893,19.6,0,"(42724.4, 45201]",40.3,39.2,42,"Dyer County, Tennessee",2.51,51.7,17.3,37.3,NA,3.4,40.2,11.6,54.1,6.6,63.9,50.4,46.1,37.6,21.9,82.04656541,13.34419509,0.580753666,0.835654596,50.38510482,6.483677849
174.7,56573,39165,14.7,0,"(54545.6, 61494.5]",43.7,42.7,44.8,"Fayette County, Tennessee",2.58,56.4,14.8,36.9,42.6,5.7,35.8,15.9,54.1,8.5,71.8,55.6,45.8,32.9,15.6,69.61920956,27.64981708,0.66986139,1.076931004,58.14360771,5.28264626
230.9,30299,17917,28.1,0,"[22640, 34218.1]",44.2,42.7,45.2,"Fentress County, Tennessee",2.43,53,10.9,51.8,NA,5.3,44.2,7,41.6,10.4,45.2,NA,24.2,53.2,33,97.90864982,0.16173108,0.306731359,0.340192962,51.01314348,5.124835742
180.5,43851,41449,16.5,0,"(42724.4, 45201]",41.5,39.7,42.5,"Franklin County, Tennessee",2.4,52.7,7.2,35.7,NA,2.1,37,11.6,50.8,9.5,65.3,48.6,40.6,39.7,20.9,90.12105596,3.155233604,0.763284554,1.645680393,52.9812293,5.292111343
214.7,37498,49399,19.5,0,"(37413.8, 40362.7]",40.4,39.1,41.3,"Gibson County, Tennessee",2.49,50.2,10.9,43.8,42.1,3.2,38.4,10.3,52,9.5,62.5,47.1,39.8,38.6,22.3,78.91551682,18.53465666,0.326797386,0.538610506,48.65545786,4.845775592
199.9,41326,28946,16.9,0,"(40362.7, 42724.4]",42.9,41.5,44,"Giles County, Tennessee",2.49,52.4,12.5,36.2,NA,6.4,42.3,9.7,50.6,9.9,64.4,46.8,40.8,37.9,20.1,86.09969256,10.03488894,0.659780994,0.939583405,51.85447464,4.447587616
194.7,36740,68580,17.7,0,"(34218.1, 37413.8]",43.7,42.2,44.9,"Greene County, Tennessee",2.38,53,9.2,50.2,33.7,6.8,42.6,9.8,49.8,8.7,59.4,42.3,37.3,42.5,22,95.30010499,2.206311246,0.507466169,0.587669155,51.19917323,3.90120498
218.9,28086,13441,26.1,0,"[22640, 34218.1]",42.6,41.4,44.4,"Grundy County, Tennessee",2.55,48.4,17.7,56.5,NA,4.5,42,6.7,41.6,10.2,40.8,28.9,25.5,51,33.2,81.92842354,0.236616386,0.229222124,0.229222124,46.88756943,5.094207955
172.9,48380,354098,15.9,553.5190823,"(48021.6, 51046.4]",39.3,37.8,40.9,"Hamilton County, Tennessee",0.0248,48,13.1,27,51.6,8.4,27.3,18.2,57.7,8,68.3,53.9,46.5,32.9,17.5,75.1445618,19.8327593,1.981782196,0.991034726,47.00812066,5.342350159
230.9,27323,6572,29.5,0,"[22640, 34218.1]",44.2,43.4,45,"Hancock County, Tennessee",2.35,51.7,5.7,58.9,NA,0,39.4,7.3,41.5,12.1,48.1,37.3,34.1,49.4,31.1,97.41041855,0.451671183,0.060222824,0.060222824,47.56717502,8.014184397
213.7,35321,25707,25.3,350.0991948,"(34218.1, 37413.8]",39.8,37.6,42.8,"Hardeman County, Tennessee",2.59,41.1,29.4,43.5,NA,3.3,44.4,5.7,38.3,18.7,53.5,NA,35.5,45.3,28.9,56.16120062,41.85807336,0.441854264,0.20188169,44.23715234,4.627249357
185.9,36285,25756,21.7,0,"(34218.1, 37413.8]",44.8,43.7,45.9,"Hardin County, Tennessee",2.58,51.2,23.9,37.2,37.7,1.2,43.6,7.6,44.5,13.9,53.6,38.6,30.1,45,25.8,94.11969112,3.150579151,0.324324324,0.077220077,52.91257218,4.906586148
211.8,39506,56471,19.6,0,"(37413.8, 40362.7]",43.4,42.3,44.5,"Hawkins County, Tennessee",2.42,52.7,12.6,46.8,NA,5.8,44.2,8.8,47.6,10,61.2,44.3,40,42.4,23.8,96.21874724,1.397649969,0.367523633,0.385193038,50.25251435,4.203166439
183.7,35470,18023,24.7,0,"(34218.1, 37413.8]",39.9,37.3,41.4,"Haywood County, Tennessee",2.57,43,24.2,50.6,NA,1.9,42.1,7.2,49.8,10.5,56.1,NA,35.5,43.5,26.4,46.15848312,49.34239369,0,2.498903989,42.75114155,4.488542405
204.5,39303,28015,19.1,0,"(37413.8, 40362.7]",40.7,39.1,41.6,"Henderson County, Tennessee",2.57,51.5,12.5,40,40.3,7.2,39.8,8.4,50.2,9.4,59.8,NA,39,40.6,25.5,89.0265234,7.589333524,0.049976796,0.871024167,50.04163197,4.405016825
219.1,37151,32147,20.5,0,"(34218.1, 37413.8]",44.9,43.7,46,"Henry County, Tennessee",2.36,55.2,14.8,54.4,24.4,6.4,45.1,8.5,48.3,9.7,59.8,40.9,32.6,44.2,24,89.49456134,8.624376336,0.210728563,0.083671635,51.26568184,4.382650748
213.5,37443,24363,20.2,0,"(37413.8, 40362.7]",40.7,39.5,42.1,"Hickman County, Tennessee",2.6,49.1,21.4,50.1,NA,1.3,43.3,6.6,48,8.6,53.7,NA,35.3,41.1,25.7,92.14676934,4.826421777,0.032944859,0.938928468,52.0583875,6.558627264
219,39753,8149,19.1,122.7144435,"(37413.8, 40362.7]",43.2,41.3,43.8,"Houston County, Tennessee",2.49,56.7,19.3,36.5,NA,4.2,46.3,8.4,45.6,8.1,59,43,35.3,43.4,25,94.31845597,2.689987937,0.180940893,0.241254524,54.88142901,3.771361226
222.6,42837,18135,17.6,716.8458781,"(42724.4, 45201]",42.2,41.3,42.8,"Humphreys County, Tennessee",2.53,54.8,14.1,41.3,43.4,1.2,42.8,8.9,48.1,8.9,66.9,49,42.9,37.8,17.8,95.09868421,3.229166667,0.191885965,0.082236842,54.126895,5.078225186
196.5,35379,11509,23.4,0,"(34218.1, 37413.8]",45.8,44.9,46.5,"Jackson County, Tennessee",2.49,50.8,5.8,57.3,NA,3.9,47.7,5.1,40.2,14.5,48.3,33.2,27.6,52.2,32.2,96.72929715,0.71329158,0.026096033,0.617606124,50.34208784,3.981937603
185.3,41235,53240,17.8,0,"(40362.7, 42724.4]",42.3,41.1,44.2,"Jefferson County, Tennessee",2.58,53.4,5.8,36.7,NA,6.8,39.5,9.6,53.6,9.1,63.7,48.6,42.2,37.8,21.1,94.76281196,2.560487712,0.226709849,0.542960564,55.6176635,4.075765263
211.3,31330,17830,26.4,0,"[22640, 34218.1]",44.5,43,47.5,"Johnson County, Tennessee",2.29,53.3,15.8,46.9,NA,2.4,40.9,6.1,39.9,9,56.6,37.4,31.4,48.7,26.1,93.40067714,3.946272964,0.127657213,0.782594217,55.01498074,5.253623188
247.6,28524,7576,41.9,0,"[22640, 34218.1]",40.3,38.8,45,"Lake County, Tennessee",2.38,32.9,30.4,51,NA,5,44.6,5.9,27.9,10.1,45.4,32.5,27,52.1,36.7,68.73943021,26.81149994,0.286197476,1.74320281,43.73804971,4.662698413
218.3,33595,26936,24.8,0,"[22640, 34218.1]",37.1,35.2,39.3,"Lauderdale County, Tennessee",2.5,41,24.2,54.3,NA,3.6,44.5,5.8,41.8,13.4,50.8,38,33.6,45.2,29.6,61.85875232,35.09315638,0.477631531,1.122981004,41.51020408,5.484147386
187.3,34614,42564,21.8,0,"(34218.1, 37413.8]",39.9,38.7,41.4,"Lawrence County, Tennessee",2.59,55.2,16.9,39.2,NA,4.6,42.2,7.8,50.7,10.8,58.8,44.2,37.5,37.1,20.7,95.08122957,1.901671956,0.464168995,0.9307062,54.03626428,7.666385847
217.1,36255,11854,20.3,0,"(34218.1, 37413.8]",43.5,41,46.2,"Lewis County, Tennessee",2.49,57.3,10,63.6,26.4,0,43.2,8.4,50.8,7.7,57.8,43.2,34.3,40.9,23.6,94.26490288,1.59912927,1.942397857,1.013060951,54.15959253,4.558176729
170.6,53945,51130,13.6,0,"(51046.4, 54545.6]",46.5,45.4,47.4,"Loudon County, Tennessee",2.49,61.4,13.8,54.3,NA,5.6,34.2,15.7,48.1,8.9,65.1,46,39.9,40.7,21.4,95.71363157,1.262219037,0.774453005,0.6331004,61.11249938,4.243210863
195.9,39528,52639,17.4,0,"(37413.8, 40362.7]",42.7,42.2,43.1,"McMinn County, Tennessee",2.58,52.1,14.1,45.6,NA,4.7,42.7,9.8,48.9,9.3,62.5,45,40,39.6,21.5,92.57608654,4.04906106,0.457090618,0.681826839,53.20852938,4.451140766
211.2,36886,23177,19.3,43.14622255,"(34218.1, 37413.8]",39.6,38.8,40.5,"Macon County, Tennessee",2.53,56.5,16.3,44.1,NA,3.2,43.9,5.4,53.5,7.4,60,45.3,38.6,38.6,22.3,96.34462458,0.289969685,0.900663415,1.432274505,54.11020777,4.994346023
176.3,43113,97610,20.9,133.1830755,"(42724.4, 45201]",37.6,36.4,39,"Madison County, Tennessee",2.56,45.8,10.2,30,53.7,6.1,32.9,17,55.2,8.4,62.7,NA,42.8,37.2,22.6,59.87126212,37.0549173,1.186547706,0.407398354,46.36348801,5.831783426
220.2,40766,28487,20.6,0,"(40362.7, 42724.4]",43.1,41.6,44.6,"Marion County, Tennessee",2.43,53.9,17.6,41.8,NA,6.6,37.2,9.2,51.7,6.7,61.7,47.5,42.5,38.5,20.9,93.53847241,1.519112556,0.374478909,0.162509715,52.13882863,2.19816273
216.9,42839,31552,15.5,0,"(42724.4, 45201]",39.4,38.7,40.5,"Marshall County, Tennessee",2.57,53.2,10.8,43.9,NA,4.5,42,10.4,55.4,8.4,65,50.4,44.5,34.1,18.3,89.36743798,7.195352868,0.545588754,1.354343849,52.44819519,3.440273038
229.6,34801,11830,20.8,0,"(34218.1, 37413.8]",44.3,43.6,44.8,"Meigs County, Tennessee",2.51,55.7,14.8,63.8,NA,3.1,42.7,4.6,40.9,15,57,NA,37.4,42.7,23.7,96.24445203,1.596107887,0,0,54.91341991,5.090180361
195.4,50935,193479,13.9,0,"(48021.6, 51046.4]",30.3,29.5,31.1,"Montgomery County, Tennessee",2.76,54.2,7.7,37,NA,8.7,30.8,16.6,52.1,9.7,72.1,54.5,28.7,29,14.9,71.70072051,19.2257232,2.115818905,1.715238198,53.62200682,6.724977636
137.3,50358,6322,12.5,0,"(48021.6, 51046.4]",45.5,44.8,46.1,"Moore County, Tennessee",2.55,57.4,18.8,41.3,NA,6.7,40.2,12.2,57.9,6.5,74.6,NA,45.7,32.5,12.5,94.36309243,3.857660211,0,0,60.35044825,0.702028081
220.1,35884,22129,18.9,0,"(34218.1, 37413.8]",42.2,41.3,43.3,"Overton County, Tennessee",2.45,61.3,14.3,44.7,NA,3.8,43.7,8.2,47.8,7.7,59.9,NA,36.8,41.7,24.1,97.67873303,0.809954751,0.339366516,0,59.12515462,3.83125269
198.4,33776,7929,23.6,0,"[22640, 34218.1]",43.7,41.6,45,"Perry County, Tennessee",2.4,52.3,10.6,62.4,NA,6.7,41.4,8,44.5,9.5,52.7,38.4,31.7,41.3,23.9,94.90081384,2.797558494,0.139877925,0,49.0700558,9.322033898
244,36643,16773,20.3,0,"(34218.1, 37413.8]",44,43.1,45,"Polk County, Tennessee",2.44,56.9,12.6,44.6,NA,4.8,43.3,6.1,46.9,10.9,60.2,44.4,38.2,41.6,24,96.73398454,0.287649068,0.137831845,0.66518847,54.92957746,1.62069946
189.2,37693,74553,20.8,134.1327646,"(37413.8, 40362.7]",36.1,33.8,38.5,"Putnam County, Tennessee",2.38,48.3,6.9,32.7,NA,6.3,37.8,15.4,50.5,8.4,61,48,41.4,36.1,21.1,94.21758569,2.410242515,1.109605744,0.365804092,46.05161334,3.640481715
193.5,37952,32526,22,0,"(37413.8, 40362.7]",40.5,40,41.1,"Rhea County, Tennessee",2.51,50.9,16.1,39.5,NA,4.2,38.1,7.8,48.6,11.1,58.6,NA,35.9,45.3,25.6,94.52367722,2.488115083,0.080261777,0.904488486,49.14308489,6.638495093
198.7,43269,52753,18,0,"(42724.4, 45201]",46.1,45.3,47,"Roane County, Tennessee",2.4,54.7,25.1,34.5,NA,4.5,36.6,11.3,46.9,9.8,63.7,NA,38.8,42,21.9,94.42647004,2.640984162,0.453331327,0.122267785,52.77562023,3.126436782
187.2,52640,68570,13.4,14.58363716,"(51046.4, 54545.6]",38.6,37.4,39.3,"Robertson County, Tennessee",2.7,57,13.6,45.4,31.8,9.3,38.4,11.8,60.2,8.4,69.5,56.5,48.7,29.8,17,87.66054638,7.531219411,0.459763296,2.294367158,57.6884055,5.976467659
177.6,53799,298612,14.7,26.79061793,"(51046.4, 54545.6]",32.9,31.9,33.8,"Rutherford County, Tennessee",2.76,51,8.1,32,NA,9.2,29.6,21.4,65,6.8,72.9,61.9,54.4,23.5,13.7,79.74433568,13.4846651,2.994075553,0.86424734,53.0572913,4.947730667
255.9,31397,21950,24.5,0,"[22640, 34218.1]",38.6,37.8,39.5,"Scott County, Tennessee",2.61,50.2,12.6,56,NA,3.2,47.6,4.6,45,14.1,48.7,38.4,31.8,45.7,30.3,98.26248696,0.222292791,0.113414689,0.049902463,49.54868215,5.677867903
227.4,44111,14811,18.7,0,"(42724.4, 45201]",41.9,41.6,42.7,"Sequatchie County, Tennessee",2.56,56.2,12.9,41.1,42.3,3.7,40.2,7.6,48.8,9,61.9,47.6,40.3,40.4,22.1,89.67242325,0.212445175,0,0.390625,54.94211932,3.240589198
202.7,44015,938069,23,393.3612559,"(42724.4, 45201]",34.9,33.2,36.6,"Shelby County, Tennessee",2.65,38.7,15.9,33.9,NA,9.1,27.1,18.9,58.7,10.3,61.3,49.9,44.6,33.4,21.2,40.1648627,52.71852839,2.49757398,2.735377233,37.74393475,6.405574323
225.1,43659,19295,15,0,"(42724.4, 45201]",41.6,40.6,42.7,"Smith County, Tennessee",2.53,59.1,13.8,43.9,NA,3.8,48,6.2,53.9,5.2,64.4,50.9,44.4,36.5,22.4,95.5215301,2.257525084,0.151546823,0.381479933,57.31479005,3.646563815
230.1,41590,13259,17.5,301.6818765,"(40362.7, 42724.4]",43.2,42.9,44,"Stewart County, Tennessee",2.57,57.4,10.5,47.3,39.2,3,42,8.1,45,10.1,66,43.9,34,40.2,18.9,93.50444076,1.55803101,1.166641578,0.647297908,57.02592087,2.998236332
187.2,38840,156791,18.5,344.4075234,"(37413.8, 40362.7]",44.3,43.2,45.6,"Sullivan County, Tennessee",2.32,53.9,13,38,NA,6.5,34.8,13.6,51.3,8.2,64.3,46.3,41.1,40.2,20.3,94.64440645,1.933627641,0.58372461,0.79616209,50.28831243,4.794040316
162.5,58291,175989,11.3,102.2791197,"(54545.6, 61494.5]",39.4,38.3,40.4,"Sumner County, Tennessee",2.7,55.6,14,35.1,NA,9,32.8,16.5,61.9,6,70.2,57.6,49.4,30,17.5,88.66663129,6.919462573,1.271643586,1.194413493,56.95154185,5.056955471
208.4,52339,61870,15.4,32.32584451,"(51046.4, 54545.6]",37,36,38.1,"Tipton County, Tennessee",2.82,51.9,14.8,44.9,NA,3.7,39,9.6,57,10.6,67.8,53,46.5,32,18.9,78.18529688,18.15513831,0.760450109,0.251321464,54.51216686,6.760732914
217,40251,8042,17.5,0,"(37413.8, 40362.7]",40.2,37.4,42.4,"Trousdale County, Tennessee",2.65,49.2,27.6,46.8,NA,7,42.8,6.6,54,10.5,60.3,49.3,36.7,35.5,23.6,85.89548453,11.96093354,1.230339929,0,52.050581,9.777777778
221.3,37453,19119,22.6,0,"(37413.8, 40362.7]",41,40.5,41.9,"Union County, Tennessee",2.59,55.8,11.1,49.3,NA,4.4,44.2,6,44.4,9.5,54.1,40.6,35.2,44.9,27.9,98.02052786,0.56032677,0.057603687,0.068077084,54.80690222,3.464419476
174.1,34884,5677,20.6,0,"(34218.1, 37413.8]",45.8,45.1,47.4,"Van Buren County, Tennessee",2.61,51.8,10.4,52.5,NA,3.3,50.1,7.5,47.8,11.2,57.9,NA,36,41.1,24.1,97.05146533,0.553967119,0.750536097,0,56.03038936,4.545454545
